"X.1","X","date_time_samp","site","plot_num","treatment","exclosure","paired","longitude","latitude","man_long","man_lat","barcode","sample_num","veg_type","veg_level","vwc","period","soil_temp","pH","siteX","treatmentX","exclosureX","pairedX","plot","cluster","clusterBC","plotBC","factorial","veg_type_med","veg_level_med","vwc_med","period_med","soil_temp_med","pH_med","Date","hour","minute","time","season","notes_cluster","number","year","CT1","CT2","CT3","CT4","Ct_detects","positive","cluster_pair","Library_Name","Abditibacteria","Acidimicrobiia","Acidobacteriae","Actinobacteria","AD3","AKAU4049","Alphaproteobacteria","Anaerolineae","Armatimonadia","Babeliae","Bacilli","bacteriap25","Bacteroidia","BD2-11_terrestrial_group","Bdellovibrionia","Berkelbacteria","Blastocatellia","Campylobacteria","Chlamydiae","Chloroflexia","Chthonomonadetes","Clostridia","Coriobacteriia","Cyanobacteriia","Deferribacteres","Dehalococcoidia","Deinococci","Desulfovibrionia","Desulfuromonadia","Dojkabacteria","Elusimicrobia","Entotheonellia","Fibrobacteria","Fimbriimonadia","GAL15","Gammaproteobacteria","Gemmatimonadetes","Gitt-GS-136","Gracilibacteria","Holophagae","Hydrogenedentia","JG30-KF-CM66","Kapabacteria","Kazania","KD4-96","Ktedonobacteria","Limnochordia","Lineage_IIa","Lineage_IIb","Lineage_IIc","Longimicrobia","MB-A2-108","MBNT15","Methanobacteria","Methylomirabilia","Microgenomatia","Moorellia","Myxococcia","N9D0","Nanoarchaeia","NB1-j","Negativicutes","Nitrososphaeria","Nitrospiria","OLB14","Oligoflexia","OM190","P2-11E","Parcubacteria","Phycisphaerae","Pla4_lineage","Planctomycetes","Polyangia","RCP2-54","Rhodothermia","Rubrobacteria","S0134_terrestrial_group","Saccharimonadia","SAR324_clade(Marine_group_B)","Sericytochromatia","SHA-26","SJA-28","Subgroup_22","Subgroup_25","Subgroup_5","Sumerlaeia","Symbiobacteriia","Thermoanaerobaculia","Thermoleophilia","Thermoplasmata","TK10","TX1A-33","uncultured","unspecified_Actinobacteriota","unspecified_Archaea","unspecified_Bacteria","unspecified_Chloroflexi","unspecified_Firmicutes","unspecified_Gemmatimonadota","unspecified_Myxococcota","unspecified_Patescibacteria","unspecified_Planctomycetota","unspecified_Unassigned","vadinHA49","Vampirivibrionia","Verrucomicrobiae","Vicinamibacteria","WPS-2","WS2","WWE3"
1,1,"4/19/2021 16:55",1,7,0,0,1,-119.6549475,35.08328973,NA,NA,"AS07SN11",1,1,1,8.7,1.229,90,7,"S","S","E",1,"S07","S07SE1","S07SN1","S07","SE",1,1,6.4,1.186,90,7,"2021-04-19 16:55:00",16,55,16.9166666666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S701","JTMR008CQ",11,803,480,13328,0,0,5018,20,36,0,1451,287,1316,5,10,0,1727,0,0,1925,9,0,0,0,0,50,0,0,0,0,3,27,12,6,0,1388,1653,163,0,203,0,25,5,0,948,128,0,0,0,0,176,263,0,0,7,0,0,198,0,0,0,0,15,57,0,55,0,3,0,113,0,138,288,8,0,1371,28,35,0,2,0,0,0,0,0,0,0,45,5016,25,276,0,3,26,0,111,84,0,0,0,0,0,0,0,0,621,798,6,0,0
2,2,"4/19/2021 17:05",1,7,1,0,1,-119.655221,35.06577047,NA,NA,"AS07PE11",1,1,1,4.1,1.139,81,7,"S","P","E",1,"S07","S07PE1","S07PE1","S07","PE",1,1,6.2,1.181,87,7,"2021-04-19 17:05:00",17,5,17.0833333333333,"Spring",NA,NA,NA,34.13,37.14,NA,NA,2,0,"S701","JTMR008DP",0,366,153,10518,0,0,3120,19,13,0,1001,107,1119,6,28,0,253,0,0,1595,0,0,0,8,0,25,4,0,0,0,0,4,5,0,0,1433,841,364,0,44,0,20,3,0,317,0,0,0,0,0,173,174,0,0,0,0,0,135,0,0,0,0,36,19,0,0,0,0,0,19,0,23,145,0,0,779,91,40,0,0,0,0,0,0,0,12,0,11,2983,9,60,0,0,0,0,43,0,0,0,0,0,0,0,0,0,269,329,0,0,0
3,3,"4/19/2021 11:10",1,8,1,0,1,-119.6802852,35.05927597,NA,NA,"AS08PE11",1,1,3,5.8,1.176,73,8,"S","P","E",1,"S08","S08PE1","S08PE1","S08","PE",1,3,5.8,1.176,73,8,"2021-04-19 11:10:00",11,10,11.1666666666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S801","JTMR009DY",0,746,284,12148,0,0,6737,47,60,0,303,79,653,0,7,0,390,0,0,3363,0,5,0,51,0,23,3,0,0,0,0,0,17,0,0,755,948,225,0,74,0,59,15,0,447,33,0,0,0,0,229,133,0,0,11,0,0,88,0,0,0,0,74,69,7,3,0,0,0,72,0,68,345,0,0,1575,54,27,0,0,0,0,0,0,0,7,0,84,2759,13,160,0,0,0,0,95,28,0,15,0,0,0,0,0,0,370,671,0,0,0
4,4,"4/19/2021 11:39",1,8,0,0,1,-119.6800302,35.0587963,NA,NA,"AS08SE11",1,1,3,9.2,1.244,74,8,"S","S","E",1,"S08","S08SE1","S08SE1","S08","SE",1,3,10.7,1.275,73,8,"2021-04-19 11:39:00",11,39,11.65,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S801","JTMR008AC",4,1139,254,14544,0,2,7512,89,83,0,727,297,1285,0,35,0,1418,0,0,3492,8,5,0,27,0,109,0,0,0,0,0,89,34,13,0,1175,1712,227,0,372,0,86,11,0,876,119,0,0,3,0,307,490,0,0,69,0,0,137,0,0,0,0,86,89,19,20,0,13,0,27,2,132,435,16,10,3337,212,39,0,0,0,0,0,0,11,0,0,247,6370,46,379,0,8,18,0,97,58,0,10,0,8,0,0,0,4,413,1120,0,0,0
6,6,"4/19/2021 14:38",1,10,0,0,1,-119.480762,34.98586131,NA,NA,"AS10SE11",1,0,0,3.8,1.137,90,NA,"S","S","E",1,"S10","S10SE1","S10SE1","S10","SE",0,0,4.7,1.154,95,NA,"2021-04-19 14:38:00",14,38,14.6333333333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1001","JTMR009CU",0,467,159,8117,0,0,3195,0,174,0,161,81,549,0,0,0,695,0,0,1813,3,0,0,27,0,17,0,0,0,0,0,7,0,0,0,267,898,62,0,46,0,41,0,0,388,131,0,0,0,0,124,94,0,0,12,0,0,47,0,0,0,0,10,24,0,0,0,0,0,49,0,266,88,0,0,1905,6,10,0,0,0,0,0,0,0,0,0,11,1968,3,186,0,0,0,0,8,36,0,0,0,0,0,0,0,2,56,160,0,0,0
9,9,"4/19/2021 14:08",1,10,1,1,1,-119.6921527,35.06498,NA,NA,"AS10PN11",1,2,1,5.3,1.171,86,NA,"S","P","N",1,"S10","S10PN1","S10PN1","S10","PN",2,1,5.3,1.171,80,NA,"2021-04-19 14:08:00",14,8,14.1333333333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1011","JTMR008AT",7,503,415,21589,0,0,8110,16,176,0,197,64,2112,0,0,0,800,0,0,2082,2,0,0,67,0,0,0,0,0,0,0,0,4,28,0,1326,1882,9,0,234,0,49,5,0,390,93,0,2,0,0,241,41,0,0,3,0,0,193,0,0,0,0,27,20,0,0,0,0,0,90,0,160,356,0,0,1084,0,64,0,13,0,0,0,0,0,0,0,31,3233,0,185,0,22,0,0,12,28,0,0,0,2,0,0,0,0,402,551,0,0,0
10,10,"4/19/2021 14:26",1,10,0,1,1,-119.6921896,35.06494627,NA,NA,"AS10SN11",1,2,1,7.5,1.213,81,NA,"S","S","N",1,"S10","S10SN1","S10SN1","S10","SN",2,1,6.9,1.202,81,NA,"2021-04-19 14:26:00",14,26,14.4333333333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1011","JTMR009AM",3,484,164,8963,0,7,3948,18,180,0,221,151,635,0,9,0,891,0,0,1882,0,0,0,37,0,16,0,0,0,0,0,15,0,2,0,381,1209,45,0,76,0,40,4,0,530,193,0,0,0,0,144,108,0,0,20,0,0,50,0,0,0,0,21,24,0,0,0,0,0,0,0,8,146,0,0,2137,12,2,0,0,0,0,0,3,0,0,0,61,2631,3,189,0,5,12,0,126,84,0,0,0,0,0,0,0,0,216,294,0,0,0
11,11,"4/19/2021 12:34",1,9,1,1,1,-119.6857639,35.06167467,NA,NA,"AS09PN11",1,1,2,2.6,1.109,92,NA,"S","P","N",1,"S09","S09PN1","S09PN1","S09","PN",1,2,2.9,1.116,89,NA,"2021-04-19 12:34:00",12,34,12.5666666666667,"Spring",NA,NA,NA,34.56,33.96,35.83,34.64,4,1,"S911","JTMR008Z",0,644,540,17567,7,0,7902,61,54,0,1565,166,1096,0,24,0,766,0,0,2283,16,8,0,144,0,16,0,0,0,0,0,10,8,19,0,1533,2254,90,0,87,0,33,2,0,789,122,0,0,0,0,279,83,0,0,10,0,0,360,0,0,0,0,44,117,0,0,0,0,0,66,0,155,264,0,0,1971,52,49,0,9,0,0,0,0,0,11,0,64,4180,10,149,0,13,0,0,60,32,0,0,0,0,0,0,0,0,352,579,0,3,0
12,12,"4/19/2021 12:49",1,9,0,1,1,-119.6858767,35.06172396,NA,NA,"AS09SN11",1,1,1,0.9,1.068,86,NA,"S","S","N",1,"S09","S09SN1","S09SN1","S09","SN",1,1,4.9,1.162,76,NA,"2021-04-19 12:49:00",12,49,12.8166666666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S911","JTMR008AD",9,746,209,13701,0,0,6279,65,26,6,879,57,1764,6,33,0,747,0,0,1345,0,2,0,1612,0,17,2,0,0,0,0,0,8,6,0,1223,974,138,0,312,0,56,3,0,644,66,0,0,0,0,559,45,0,0,0,0,0,173,0,0,0,0,29,37,0,6,0,0,0,25,0,167,329,0,0,882,33,47,0,19,0,0,0,0,0,5,0,184,2233,9,153,0,7,0,0,32,18,0,13,0,4,0,0,0,0,345,421,0,0,0
13,13,"4/19/2021 12:59",1,9,1,0,1,-119.6859942,35.06130704,NA,NA,"AS09PE11",1,1,2,2.9,1.117,68,NA,"S","P","E",1,"S09","S09PE1","S09PE1","S09","PE",1,2,2.9,1.117,73,NA,"2021-04-19 12:59:00",12,59,12.9833333333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S901","JTMR008AO",0,769,342,16847,0,0,8439,211,57,0,250,45,2487,0,23,0,772,0,0,2546,4,2,0,672,0,0,3,0,0,0,0,0,10,24,0,1644,1498,96,0,84,0,26,10,0,357,75,0,0,0,0,255,15,0,0,0,0,0,197,0,0,0,0,33,29,0,21,0,0,0,37,0,111,798,0,0,961,0,16,0,0,0,0,0,0,0,21,0,332,2202,0,81,0,0,0,0,16,7,0,0,0,0,0,0,0,0,684,486,0,0,0
14,14,"4/19/2021 13:07",1,9,0,0,1,-119.6860301,35.06126718,NA,NA,"AS09SE11",1,1,2,5.7,1.177,80,NA,"S","S","E",1,"S09","S09SE1","S09SE1","S09","SE",1,2,6.3,1.19,80,NA,"2021-04-19 13:07:00",13,7,13.1166666666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S901","JTMR009AI",6,848,313,12064,0,5,5385,47,27,0,632,164,970,0,18,0,1190,0,0,2923,8,0,0,0,0,35,7,0,0,0,0,0,4,10,0,761,1777,99,0,189,0,93,7,0,849,280,0,0,0,0,260,177,0,0,14,0,0,103,0,0,0,0,30,81,0,16,0,0,0,18,0,45,170,4,0,2806,26,15,0,0,0,0,0,0,0,4,0,78,3709,36,316,0,10,23,0,115,52,0,0,0,0,0,0,0,7,443,567,3,0,0
16,16,"4/19/2021 10:20",1,8,1,1,1,-119.6803251,35.05925036,NA,NA,"AS08PN11",1,2,1,3.5,1.129,80,9,"S","P","N",1,"S08","S08PN1","S08PN1","S08","PN",2,1,4.4,1.149,77,9,"2021-04-19 10:20:00",10,20,10.3333333333333,"Spring",NA,NA,NA,NA,36.74,37.26,38.38,3,1,"S811","JTMR009DK",2,858,200,23039,0,10,10217,78,115,0,629,140,2035,0,54,0,422,0,0,3368,0,0,0,62,0,42,7,0,0,0,0,9,9,0,0,2457,1498,171,0,18,0,47,8,0,459,28,0,0,0,0,389,157,0,0,0,0,0,119,0,0,0,0,35,57,0,12,0,0,0,159,0,117,324,0,0,2042,54,43,0,0,0,0,0,0,0,15,0,50,3283,0,153,0,0,5,0,13,39,0,0,0,0,0,0,0,0,360,429,0,0,0
17,17,"4/19/2021 10:42",1,8,0,1,1,-119.6803061,35.0592554,NA,NA,"AS08SN11",1,1,1,5.1,1.164,77,8,"S","S","N",1,"S08","S08SN1","S08SN1","S08","SN",1,1,5.3,1.169,73,8,"2021-04-19 10:42:00",10,42,10.7,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S811","JTMR009AU",0,704,175,11601,0,0,6154,46,78,0,660,136,672,0,0,0,457,0,0,2106,0,0,0,16,0,38,3,0,0,0,0,39,15,7,0,729,950,185,0,88,0,43,9,0,370,28,0,0,0,0,295,167,0,0,16,0,0,90,0,0,0,0,81,52,0,0,0,7,0,57,0,138,131,0,0,1209,38,15,0,0,0,0,0,0,0,0,0,73,2547,12,263,0,0,0,0,14,21,0,0,0,0,0,0,0,0,306,353,0,0,0
18,18,"4/19/2021 14:38",1,10,1,0,1,-119.6926353,35.0647591,NA,NA,"AS10PE11",1,0,0,3.4,1.127,84,NA,"S","P","E",1,"S10","S10PE1","S10PE1","S10","PE",1,1,2.9,1.117,79,NA,"2021-04-19 14:38:00",14,38,14.6333333333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1001","JTMR008ES",0,409,164,11061,0,0,3705,10,15,0,746,210,483,9,10,3,608,0,0,1376,2,13,0,8,0,12,0,0,0,0,0,10,0,4,0,960,1071,214,0,75,0,32,0,0,503,33,0,0,0,0,200,80,0,0,11,0,0,132,0,0,0,0,43,50,0,0,0,0,3,0,0,76,165,0,2,1224,46,29,0,0,0,0,0,0,0,0,0,34,2910,17,80,0,0,0,0,82,14,0,0,0,0,0,0,0,0,201,497,0,0,0
19,19,"4/19/2021 15:52",1,7,1,1,1,-119.6555894,35.08361336,NA,NA,"AS07PN11",1,0,0,1.6,1.086,80,7,"S","P","N",1,"S07","S07PN1","S07PN1","S07","PN",0,0,2.8,1.111,80,7,"2021-04-19 15:52:00",15,52,15.8666666666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S711","JTMR009J",14,521,354,26496,0,0,11181,120,151,3,389,13,5466,0,144,0,410,0,0,1828,13,0,0,987,0,0,4,0,0,0,0,0,14,5,0,5016,1752,21,0,65,0,38,7,0,180,71,0,0,0,0,220,0,0,0,0,0,0,337,0,0,0,0,12,26,0,64,0,0,0,274,0,174,950,0,2,679,0,67,0,4,0,0,0,0,0,15,0,61,1282,0,125,0,10,0,0,0,10,0,0,0,0,0,0,0,0,348,201,0,0,0
20,20,"4/19/2021 16:10",1,7,0,1,1,-119.6556631,35.08355597,NA,NA,"AS07SE11",1,0,0,7.8,1.212,82,7,"S","S","N",1,"S07","S07SN1","S07SE1","S07","SN",0,0,7.8,1.212,82,7,"2021-04-19 16:10:00",16,10,16.1666666666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S711","JTMR008D",0,466,132,8354,0,0,3515,25,54,5,1689,40,728,0,0,0,1259,0,0,1763,0,0,0,89,0,40,0,0,0,0,0,0,0,3,0,284,757,32,0,60,0,34,7,0,281,303,0,0,0,0,123,57,0,0,0,0,0,73,0,0,0,0,4,47,0,0,0,0,0,48,0,185,99,0,0,1225,15,11,0,0,0,0,0,0,0,0,0,8,1858,4,146,0,15,0,0,6,35,0,0,0,0,0,0,0,0,106,241,0,6,0
21,21,"4/20/2021 8:54",0,1,1,1,1,-119.7464592,35.13335429,NA,NA,"AC01PN11",1,1,1,6.8,1.198,66,NA,"C","P","N",1,"C01","C01PN1","C01PN1","C01","PN",1,1,6.1,1.182,67,NA,"2021-04-20 08:54:00",8,54,8.9,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C111","JTMR009DD",0,324,86,16453,0,0,4671,8,25,0,2387,30,3903,0,0,0,85,0,0,1667,0,285,72,2053,0,17,3,7,0,0,0,0,8,0,0,4102,853,101,0,19,0,29,0,0,181,22,0,0,0,0,224,77,0,0,0,0,0,68,0,0,0,5,13,13,0,0,0,0,0,17,0,28,68,0,0,925,13,26,0,0,0,0,0,0,0,33,0,4,1479,0,17,0,0,0,0,0,7,0,0,0,0,0,0,0,0,208,36,0,0,0
22,22,"4/20/2021 9:19",0,1,0,1,1,-119.7465261,35.13336847,NA,NA,"AC01SN11",1,1,1,9.9,1.253,71,NA,"C","S","N",1,"C01","C01SN1","C01SN1","C01","SN",1,1,8.7,1.229,71,NA,"2021-04-20 09:19:00",9,19,9.31666666666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C111","JTMR008AE",11,777,347,17266,0,0,7317,61,40,0,302,138,2244,4,59,0,1447,0,0,3845,7,0,0,94,0,14,0,0,0,0,0,0,10,3,0,1350,1940,66,0,231,0,126,7,0,582,122,0,0,0,0,325,40,0,0,15,0,0,170,0,0,0,0,43,71,0,32,0,0,0,66,0,88,298,0,0,2802,46,18,0,0,0,0,0,0,0,4,0,25,3873,5,388,0,6,0,0,36,134,0,0,0,0,0,0,0,0,707,725,0,0,0
23,23,"4/20/2021 9:36",0,1,1,0,1,-119.7465626,35.13333827,NA,NA,"AC01PE11",1,1,1,19.2,1.405,77,NA,"C","P","E",1,"C01","C01PE1","C01PE1","C01","PE",1,1,8.6,1.233,66,NA,"2021-04-20 09:36:00",9,36,9.6,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C101","JTMR009CF",0,311,211,14178,0,3,3737,74,0,0,758,33,1327,0,0,0,33,0,0,1680,3,0,0,55,0,50,6,0,0,0,0,0,12,0,0,1715,1185,216,0,110,0,10,0,0,309,92,6,0,0,0,608,110,0,0,2,0,0,62,0,0,0,0,11,44,8,24,0,0,2,0,0,105,102,0,3,521,62,16,0,4,5,0,0,0,0,7,0,44,2436,14,67,0,0,0,0,26,17,0,16,0,0,0,0,0,0,202,316,0,0,0
24,24,"4/20/2021 11:58",0,5,1,1,1,-119.7390416,35.12009123,NA,NA,"AC05PN11",1,1,1,1.8,1.091,71,NA,"C","P","N",1,"C05","C05PN1","C05PN1","C05","PN",1,1,2.7,1.112,73,NA,"2021-04-20 11:58:00",11,58,11.9666666666667,"Spring",NA,NA,NA,32.34,32.51,32.39,32.41,4,1,"C511","JTMR009R",0,878,226,15896,0,0,5741,50,24,0,1516,68,1915,0,21,0,147,0,0,2254,0,3,0,93,0,58,0,0,3,0,0,3,39,4,0,1950,1085,727,0,86,7,23,0,0,388,0,0,0,0,0,355,254,0,0,5,0,0,184,0,0,0,0,28,36,17,0,0,0,0,55,0,35,179,0,0,785,105,12,0,27,0,0,0,0,0,20,0,72,3316,12,105,0,0,0,0,66,7,0,29,0,0,0,0,0,3,224,508,0,0,0
25,25,"4/20/2021 12:07",0,5,0,1,1,-119.7390459,35.12011426,NA,NA,"AC05SN11",1,0,0,5.4,1.171,70,NA,"C","S","N",1,"C05","C05SN1","C05SN1","C05","SN",0,0,5.4,1.172,70,NA,"2021-04-20 12:07:00",12,7,12.1166666666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C511","JTMR009BS",0,813,200,15889,0,0,6378,42,51,0,246,97,1089,0,10,0,849,0,0,3161,0,0,0,36,0,24,0,0,0,0,0,0,5,6,0,516,1509,102,0,155,0,93,3,0,541,124,0,0,0,0,378,86,0,0,0,0,0,60,0,0,0,0,114,59,0,28,0,0,0,57,0,195,181,0,0,2171,23,5,0,3,0,0,0,0,6,3,0,96,3279,5,312,0,0,9,0,39,113,0,0,0,0,0,0,0,3,342,345,0,0,0
26,26,"4/20/2021 12:18",0,5,1,0,1,-119.7388057,35.11962447,NA,NA,"AC05PE11",1,1,2,4.8,1.157,72,NA,"C","P","E",1,"C05","C05PE1","C05PE1","C05","PE",1,2,2.95,1.119,73,NA,"2021-04-20 12:18:00",12,18,12.3,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C501","JTMR009DP",0,778,337,27350,0,0,9266,71,34,0,347,53,2660,7,19,0,443,0,0,2782,3,2,0,204,0,20,4,0,0,0,0,6,26,0,0,1726,1613,148,0,170,0,47,7,0,245,13,0,0,0,0,293,91,0,0,0,0,0,232,0,0,0,0,58,45,0,40,0,0,0,60,0,231,479,0,0,911,57,67,0,11,0,0,0,0,0,26,0,30,2933,3,104,0,0,0,0,19,30,0,0,0,0,0,0,0,4,356,500,0,0,0
27,27,"4/20/2021 12:30",0,5,0,0,1,-119.7387258,35.11962593,NA,NA,"AC05SE11",1,1,2,6.1,1.184,72,NA,"C","S","E",1,"C05","C05SE1","C05SE1","C05","SE",1,2,5.8,1.181,74,NA,"2021-04-20 12:30:00",12,30,12.5,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C501","JTMR009CM",0,1063,220,15271,0,0,6763,106,53,0,927,146,1032,14,10,0,1172,0,0,2725,0,0,0,20,0,56,0,0,0,0,0,8,6,0,0,1189,1241,163,0,241,0,92,0,0,425,42,0,0,0,0,293,107,4,0,12,0,0,93,0,0,0,0,37,79,4,11,0,4,0,63,0,83,379,0,10,1622,35,54,0,4,2,0,0,0,0,7,0,52,3512,29,268,0,7,5,0,59,88,0,12,0,0,0,0,0,0,451,708,0,0,0
29,29,"4/20/2021 15:06",0,8,1,0,1,-119.7303208,35.11330633,NA,NA,"AC08PE11",1,1,2,NA,NA,82,NA,"C","P","E",1,"C08","C08PE1","C08PE1","C08","PE",1,2,NA,NA,76,NA,"2021-04-20 15:06:00",15,6,15.1,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C801","JTMR008CJ",0,562,238,15734,0,0,7845,106,130,0,908,69,3710,0,59,0,364,0,0,1994,0,0,0,64,0,0,6,0,3,0,0,0,18,33,0,3811,1021,133,0,71,0,28,15,0,235,26,0,0,0,0,377,36,0,0,0,0,0,227,0,0,0,0,11,28,0,42,0,0,0,33,0,54,317,0,0,513,3,60,0,18,0,0,0,0,0,10,0,48,1554,3,39,0,0,0,0,11,12,0,0,0,0,0,0,0,0,898,325,0,0,0
30,30,"4/20/2021 15:12",0,8,0,0,1,-119.7303044,35.11333615,NA,NA,"AC08SE11",1,1,1,NA,NA,80,NA,"C","S","E",1,"C08","C08SE1","C08SE1","C08","SE",1,1,NA,NA,80,NA,"2021-04-20 15:12:00",15,12,15.2,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C801","JTMR009BL",0,205,115,6787,0,0,2555,31,36,0,148,78,288,6,0,0,303,0,0,815,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,371,450,21,0,107,0,25,0,0,178,18,0,0,3,0,68,74,4,0,0,0,0,110,0,0,0,0,6,12,0,0,0,0,0,22,0,0,120,0,0,435,28,10,0,0,0,0,0,0,0,0,0,23,1076,8,53,0,0,0,0,10,5,0,0,0,0,0,0,0,0,81,201,0,0,0
31,31,"4/20/2021 16:02",0,7,0,1,1,-119.7328044,35.10881524,NA,NA,"AC07SN11",1,0,0,NA,NA,83,NA,"C","S","N",1,"C07","C07SN1","C07SN1","C07","SN",0,0,NA,NA,86,NA,"2021-04-20 16:02:00",16,2,16.0333333333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C711","JTMR008DL",0,1259,337,15745,0,19,6200,47,81,0,768,269,1367,9,19,0,1604,0,0,4001,0,0,0,341,0,61,0,0,0,0,0,13,12,8,0,1158,1909,147,0,232,0,151,0,0,995,174,0,0,0,0,358,216,8,0,0,2,0,142,0,0,0,0,69,93,6,25,0,0,0,45,0,232,160,0,3,3443,82,20,0,0,0,0,0,0,0,9,0,97,5376,2,417,0,13,18,0,109,125,0,0,0,0,0,0,0,0,370,720,0,5,0
32,32,"4/20/2021 16:26",0,7,1,0,1,-119.7322054,35.10828516,NA,NA,"AC07PE11",1,1,3,NA,NA,75,NA,"C","P","E",1,"C07","C07PE1","C07PE1","C07","PE",1,3,NA,NA,75,NA,"2021-04-20 16:26:00",16,26,16.4333333333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C701","JTMR008EW",0,213,170,9490,0,0,3399,30,13,0,1940,38,677,0,2,0,224,0,0,1239,0,9,0,8,0,0,0,0,0,0,0,0,10,18,0,973,482,139,0,124,0,0,0,0,148,15,0,0,0,0,213,25,0,0,0,2,0,90,0,0,4,0,19,14,3,27,0,0,0,21,0,72,250,0,11,78,41,24,0,2,0,0,0,0,0,0,0,49,1045,5,26,0,0,0,0,5,13,0,25,0,0,0,0,0,0,225,384,2,0,0
34,34,"4/20/2021 9:33",0,1,0,0,1,-119.7461097,35.13267475,NA,NA,"AC01SE11",1,1,1,15.4,1.344,75,NA,"C","S","E",1,"C01","C01SE1","C01SE1","C01","SE",1,1,14.4,1.338,74,NA,"2021-04-20 09:33:00",9,33,9.55,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C101","JTMR008DX",3,414,323,9588,0,3,4237,38,25,0,93,156,948,0,12,0,209,0,0,3421,17,0,0,16,0,26,12,0,0,0,0,0,3,12,0,735,1441,64,0,70,0,121,2,0,589,225,0,0,0,0,245,24,0,0,3,0,0,63,0,0,0,0,27,40,0,2,0,0,2,35,0,68,181,0,0,2130,50,0,0,0,0,0,0,0,4,0,0,19,3248,0,327,0,18,0,0,34,93,0,0,0,0,0,0,0,0,485,442,0,0,0
37,37,"4/20/2021 13:35",0,6,0,1,1,-119.7484989,35.11545547,NA,NA,"AC06SN11",1,1,2,13.4,1.309,85,NA,"C","S","N",1,"C06","C06SN1","C06SN1","C06","SN",1,1,11.2,1.273,85,NA,"2021-04-20 13:35:00",13,35,13.5833333333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C611","JTMR008CA",13,831,374,23033,0,0,10124,125,107,0,156,86,2132,0,12,0,1191,0,0,3182,0,0,0,127,0,0,3,0,0,0,0,0,24,16,0,1439,2436,132,0,326,0,93,22,0,638,87,0,0,0,0,404,22,0,0,0,0,0,270,0,0,0,0,134,67,0,20,0,0,0,55,0,300,545,0,0,1249,31,28,0,12,0,0,0,0,0,6,0,107,3305,9,272,0,11,0,0,60,44,0,6,0,0,0,0,0,3,794,731,0,11,0
38,38,"4/20/2021 13:40",0,6,1,1,1,-119.7481216,35.08300489,NA,NA,"AC06PN11",1,1,2,9.7,1.248,88,NA,"C","P","N",1,"C06","C06PN1","C06PN1","C06","PN",1,3,8.9,1.239,83,NA,"2021-04-20 13:40:00",13,40,13.6666666666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C611","JTMR009AN",0,125,37,7689,0,0,2527,0,41,0,149,4,1352,0,11,0,59,0,0,482,0,0,0,883,0,0,10,0,0,0,0,0,0,7,0,1276,380,0,0,0,0,9,0,0,20,0,0,0,0,0,82,0,0,0,0,0,0,50,0,0,0,0,0,9,0,8,0,0,0,12,0,0,94,0,0,199,0,31,0,9,0,0,0,0,0,5,0,7,323,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,23,0,0,0
39,39,"4/20/2021 13:55",0,6,0,0,1,-119.7480654,35.11496663,NA,NA,"AC06SE11",1,1,1,9.7,1.258,77,NA,"C","S","E",1,"C06","C06SE1","C06SE1","C06","SE",1,1,7.1,1.197,75,NA,"2021-04-20 13:55:00",13,55,13.9166666666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C601","JTMR008I",0,83,96,7064,0,0,2335,8,12,0,157,0,531,0,0,0,71,0,0,829,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,247,659,38,0,42,0,7,0,0,76,21,0,0,0,0,91,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,34,0,67,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,462,0,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,19,48,0,0,0
